,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
6,Fairbanks,US,25.0,64.84,-147.72,light snow,Westmark Fairbanks Hotel & Conference Center
12,Husavik,IS,28.4,66.04,-17.34,broken clouds,Bjarnabúð
32,Yarmolyntsi,UA,30.0,49.19,26.84,broken clouds,
37,Kodiak,US,33.8,57.79,-152.41,clear sky,Mission Lake Bed and Breakfast
50,Albany,US,33.01,42.6,-73.97,overcast clouds,
62,Kashin,RU,27.01,57.36,37.61,overcast clouds,"Rus', Gostinitsa"
72,Matagami,CA,17.6,49.75,-77.63,light snow,Hôtel Matagami
73,College,US,25.0,64.86,-147.8,light snow,Pike's Waterfront Lodge
97,Kropotkin,RU,20.34,45.44,40.58,scattered clouds,Hotel Europe Kropotkin
98,Naryan-Mar,RU,23.38,67.67,53.09,overcast clouds,Hostel Agat
103,Karakol,KG,25.81,42.49,78.39,overcast clouds,"Gostinitsa ""Al'tamira"""
106,Murmashi,RU,32.0,68.82,32.81,broken clouds,Airport Murmansk Hotel
115,Xining,CN,19.17,36.62,101.77,clear sky,Super Leisure Hotel
118,Tyup,KG,25.81,42.73,78.36,overcast clouds,"Gostevoy Dom ""Aldayar"""
119,Tasiilaq,GL,26.6,65.61,-37.64,overcast clouds,The Red House
121,Zhangye,CN,31.19,38.93,100.45,clear sky,Zhangye Lvzhou Holiday Inn
123,Akureyri,IS,28.4,65.68,-18.09,broken clouds,Icelandair Hotel Akureyri
125,Novikovo,RU,19.83,51.15,37.89,scattered clouds,
134,Linxia,CN,27.82,35.6,103.21,clear sky,Super 8 Linxia Yiwu International Commercial Plaza
148,La Ronge,CA,23.0,55.1,-105.28,broken clouds,Northland Motor Hotel
178,Shonguy,RU,32.0,68.75,33.15,broken clouds,Mini-Hotel Shonguy
184,Dauphin,CA,23.0,51.15,-100.05,clear sky,Canway Inn & Suites
185,Jiuquan,CN,26.4,39.74,98.52,clear sky,Jiuquan Hotel
188,Superior,US,24.01,46.72,-92.1,broken clouds,Holiday Inn Express & Suites Superior - Duluth Area
193,Berlevag,NO,24.8,70.86,29.09,broken clouds,Kvitbrakka
197,High Level,CA,26.6,58.52,-117.14,few clouds,Days Inn by Wyndham High Level
202,Moose Factory,CA,17.6,51.26,-80.61,light snow,Cree Village Eco Lodge
204,Asau,RO,30.99,46.43,26.4,clear sky,Casa Mika Ciobanus
216,Mintiu Gherlii,RO,26.6,47.05,23.95,clear sky,Hotel Restaurant Mariflor
218,Sobolevo,RU,29.3,54.43,31.9,broken clouds,
236,Hearst,CA,20.95,49.68,-83.67,overcast clouds,Companion
243,Barguzin,RU,15.1,53.62,109.62,overcast clouds,"Gostevoy Dom S.barguzin ""Vizit"""
273,Borgarnes,IS,27.0,64.54,-21.92,clear sky,Hotel Hafnarfjall
277,Oga,IT,34.0,46.46,10.35,overcast clouds,QC Terme Bagni di Bormio Bagni Nuovi
281,Rivers,CA,19.4,50.03,-100.24,broken clouds,Rivers Blue Crescent Hotel
287,Manbij,SY,21.2,36.53,37.95,clear sky,Manbej City Hotel
289,Marystown,CA,22.3,47.17,-55.15,broken clouds,Marystown Hotel & Convention Centre
293,Nanortalik,GL,22.57,60.14,-45.24,broken clouds,"NTS Rooms, Nanortalik"
303,Olafsvik,IS,26.22,64.89,-23.71,overcast clouds,Hotel Olafsvik
308,Cedar City,US,30.2,37.68,-113.06,light snow,Hampton Inn Cedar City
310,Torbay,CA,19.99,47.67,-52.73,few clouds,Gallows Cove
319,Severodvinsk,RU,30.2,64.56,39.83,light snow,Park Hotel
322,Dongsheng,CN,28.29,39.82,109.98,clear sky,Crowne Plaza Ordos
327,Petropavlovsk-Kamchatskiy,RU,21.2,53.05,158.65,overcast clouds,"ООО ""Гостиничный комплекс ""Петропавловск"""
331,Halifax,CA,27.0,44.65,-63.57,few clouds,Hotel Halifax
343,Nemuro,JP,22.1,43.32,145.57,broken clouds,Hotel Nemuro Kaiyoutei
355,Kamenka,RU,15.01,51.32,42.77,scattered clouds,
356,Kyren,RU,23.29,51.68,102.14,overcast clouds,"Energetik, Pansionat Ooo ""Grand Baykal"""
358,Ludza,LV,32.5,56.55,27.72,broken clouds,"Viesnīca ""Ludza"""
369,Ardesen,TR,28.4,41.19,40.99,light snow,Green Suada Hotel
371,Svetlogorsk,BY,29.71,52.63,29.73,broken clouds,Hotel Svetlogorsk JBIK
373,Grand Forks,US,24.8,47.93,-97.03,clear sky,TownHouse Hotel - Grand Forks
376,Lovozero,RU,21.15,68.0,35.01,scattered clouds,Country house Lovozero
382,Pyaozerskiy,RU,32.34,65.83,31.17,overcast clouds,
386,Toyooka,JP,26.94,35.53,134.83,scattered clouds,O Hotel Toyooka
401,Lulea,SE,33.8,65.58,22.15,light snow,Comfort Hotel Arctic
405,Mahabad,IR,17.69,36.76,45.72,few clouds,Afshar Hotel
409,Assiniboia,CA,24.96,49.63,-105.98,overcast clouds,Canalta Hotel Assiniboia
415,Tonami,JP,28.99,37.0,137.73,broken clouds,Oyashirazu Kanko Hotel
421,Haines Junction,CA,19.35,60.75,-137.51,overcast clouds,Parkside Inn
425,Ostrovnoy,RU,28.2,68.05,39.51,broken clouds,
428,Petrozavodsk,RU,33.8,61.78,34.35,overcast clouds,Onega Castle Hotel
435,Port Hawkesbury,CA,19.99,45.62,-61.35,clear sky,MacKenzie House Tourist Home B&B
444,Ziarat,PK,33.19,30.38,67.73,overcast clouds,Pakiza Guest House
447,Hami,CN,21.2,42.8,93.45,clear sky,Laoyutang Resort
459,Kamaishi,JP,19.31,39.27,141.88,clear sky,Hotel Route Inn Kamaishi
481,Bonavista,CA,18.0,48.65,-53.11,clear sky,Abbott's Bed & Breakfast
485,Vardo,NO,28.4,70.37,31.11,broken clouds,Vardø Hotel AS
489,Ust-Tsilma,RU,20.21,65.44,52.15,overcast clouds,U Praskov'i
512,Aksu,CN,27.21,41.12,80.26,clear sky,Pudong Holiday Hotel
522,Hasaki,JP,24.8,35.73,140.83,few clouds,Inubosaki Kanko Hotel
540,Morden,CA,23.0,49.19,-98.1,few clouds,Morden Motor Inn
550,Bismil,TR,23.0,37.85,40.67,scattered clouds,Dostlar Otomotiv
558,Spearfish,US,30.0,44.49,-103.86,clear sky,Travelodge by Wyndham Spearfish
564,Qaqortoq,GL,17.6,60.72,-46.03,light snow,Hotel Qaqortoq
