City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chicama,PE,2020-01-04 00:46:10,-7.84,-79.15,71.6,78,75,10.29
1,Tamandare,BR,2020-01-04 00:46:10,-8.28,-70.75,74.98,94,74,2.28
2,Monte Carmelo,BR,2020-01-04 00:46:10,-18.73,-47.5,70.16,92,53,4.56
3,Whitianga,NZ,2020-01-04 00:46:10,-36.83,175.7,70.0,59,59,14.0
4,Busselton,AU,2020-01-04 00:46:11,-33.64,115.35,64.99,49,0,3.0
5,Kungurtug,RU,2020-01-04 00:46:11,50.6,97.53,-1.35,82,0,2.08
6,Tiksi,RU,2020-01-04 00:46:11,71.64,128.87,-17.68,84,98,7.2
7,Hobart,AU,2020-01-04 00:45:03,-42.88,147.33,82.4,24,91,18.34
8,Ushuaia,AR,2020-01-04 00:46:12,-54.81,-68.31,48.2,70,75,20.8
9,Teguldet,RU,2020-01-04 00:46:12,57.31,88.17,23.47,94,100,8.9
10,Saint-Philippe,CA,2020-01-04 00:46:12,45.36,-73.48,41.0,100,90,3.36
11,Paamiut,GL,2020-01-04 00:46:12,61.99,-49.67,30.9,55,100,4.18
12,Minot,US,2020-01-04 00:46:13,48.23,-101.3,19.4,79,1,5.82
13,Pisco,PE,2020-01-04 00:46:13,-13.71,-76.2,71.6,88,40,18.34
14,Nemuro,JP,2020-01-04 00:46:13,43.32,145.57,19.4,52,20,3.36
15,Butaritari,KI,2020-01-04 00:46:13,3.07,172.79,84.27,74,100,7.43
16,Yellowknife,CA,2020-01-04 00:46:13,62.45,-114.38,3.2,84,75,10.29
17,Samfya,ZM,2020-01-04 00:46:14,-11.37,29.56,65.93,96,100,3.96
18,Jampur,PK,2020-01-04 00:46:14,29.64,70.6,52.61,42,0,5.93
19,Mataura,NZ,2020-01-04 00:46:14,-46.19,168.86,53.01,65,99,15.99
20,Barrow,AR,2020-01-04 00:46:14,-38.31,-60.23,72.37,55,0,8.61
21,Meadow Lake,CA,2020-01-04 00:45:16,54.13,-108.44,14.0,78,90,4.7
22,Kulhudhuffushi,MV,2020-01-04 00:46:15,6.62,73.07,82.06,77,0,9.55
23,Tonantins,BR,2020-01-04 00:46:16,-2.86,-67.77,76.37,84,84,3.27
24,New Norfolk,AU,2020-01-04 00:46:16,-42.78,147.06,82.99,24,56,18.34
25,Troitsko-Pechorsk,RU,2020-01-04 00:46:16,62.71,56.19,33.01,97,100,11.23
26,Vila Velha,BR,2020-01-04 00:46:17,-3.71,-38.6,86.0,74,23,6.93
27,Arraial Do Cabo,BR,2020-01-04 00:46:17,-22.97,-42.02,77.0,88,75,3.36
