,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Rain,City Snow,Weather Description,Date
0,Vaini,-21.2,-175.2,80.6,88,75,11.41,TO,0.0,0.0,light intensity shower rain,2020-02-09 21:06:44
1,Khandyga,62.67,135.6,-23.4,68,0,2.19,RU,0.0,0.0,clear sky,2020-02-09 21:06:45
2,Nizhniy Chir,48.36,43.09,8.73,87,0,4.79,RU,0.0,0.0,clear sky,2020-02-09 21:06:45
3,Hobart,-42.88,147.33,62.6,63,75,5.82,AU,0.0,0.0,broken clouds,2020-02-09 21:06:34
4,Busselton,-33.65,115.33,55.0,42,0,13.56,AU,0.0,0.0,clear sky,2020-02-09 21:06:45
5,Dikson,73.51,80.55,-15.77,89,0,4.7,RU,0.0,0.0,clear sky,2020-02-09 21:06:45
6,Fairbanks,64.84,-147.72,25.0,85,90,3.04,US,0.0,0.0,light snow,2020-02-09 21:06:46
7,Atuona,-9.8,-139.03,81.32,76,55,18.86,PF,0.0,0.0,broken clouds,2020-02-09 21:06:46
8,Mataura,-46.19,168.86,55.0,80,88,10.0,NZ,0.0,0.0,overcast clouds,2020-02-09 21:06:46
9,Nikolskoye,59.7,30.79,37.0,83,75,11.18,RU,0.0,0.0,broken clouds,2020-02-09 21:06:46
10,Wajima,37.4,136.9,36.81,64,95,12.95,JP,0.0,0.0,overcast clouds,2020-02-09 21:06:46
11,Itapaci,-14.95,-49.55,67.42,97,100,9.01,BR,6.25,0.0,moderate rain,2020-02-09 21:06:47
12,Husavik,66.04,-17.34,28.4,86,75,17.22,IS,0.0,0.0,broken clouds,2020-02-09 21:06:47
13,Castro,-24.79,-50.01,72.95,96,84,1.66,BR,4.31,0.0,moderate rain,2020-02-09 21:06:47
14,Bethel,41.37,-73.41,46.0,69,90,5.82,US,0.0,0.0,overcast clouds,2020-02-09 21:06:47
15,Kapaa,22.08,-159.32,75.2,50,90,17.22,US,0.0,0.0,overcast clouds,2020-02-09 21:06:47
16,Portlethen,57.05,-2.13,41.0,67,2,17.22,GB,0.0,0.0,clear sky,2020-02-09 21:06:48
17,Cape Town,-33.93,18.42,70.0,93,5,23.04,ZA,0.0,0.0,clear sky,2020-02-09 21:03:33
18,Palmer,42.16,-72.33,37.0,63,90,5.84,US,0.0,0.0,light intensity drizzle,2020-02-09 21:06:48
19,Chingola,-12.53,27.88,65.82,94,100,5.08,ZM,3.13,0.0,moderate rain,2020-02-09 21:06:48
20,Ahipara,-35.17,173.17,69.01,77,7,3.0,NZ,0.0,0.0,clear sky,2020-02-09 21:06:48
21,Polunochnoye,60.87,60.42,10.42,82,100,8.75,RU,0.0,0.0,overcast clouds,2020-02-09 21:06:49
22,Atar,20.52,-13.05,69.82,12,100,9.04,MR,0.0,0.0,overcast clouds,2020-02-09 21:06:49
23,Port Elizabeth,-33.92,25.57,69.8,88,90,3.36,ZA,0.0,0.0,overcast clouds,2020-02-09 21:06:49
24,Ancud,-41.87,-73.82,73.4,53,77,5.82,CL,0.0,0.0,broken clouds,2020-02-09 21:06:49
25,Tura,25.52,90.22,55.89,45,0,3.02,IN,0.0,0.0,clear sky,2020-02-09 21:06:49
26,Thompson,55.74,-97.86,6.8,71,75,3.36,CA,0.0,0.0,light snow,2020-02-09 21:06:49
27,Kavieng,-2.57,150.8,82.74,78,100,15.95,PG,0.0,0.0,overcast clouds,2020-02-09 21:06:50
28,Ushuaia,-54.8,-68.3,68.0,40,75,9.17,AR,0.0,0.0,broken clouds,2020-02-09 21:03:07
29,Raudeberg,61.99,5.14,44.6,93,75,23.04,NO,2.29,0.0,light intensity shower rain,2020-02-09 21:06:50
30,Tuatapere,-46.13,167.68,55.0,80,5,10.0,NZ,0.0,0.0,clear sky,2020-02-09 21:06:50
31,Vilcun,-38.65,-72.23,84.2,45,25,12.75,CL,0.0,0.0,scattered clouds,2020-02-09 21:06:50
32,Yarmolyntsi,49.19,26.84,30.0,77,51,5.99,UA,0.0,0.0,broken clouds,2020-02-09 21:06:51
33,Rikitea,-23.12,-134.97,77.77,78,18,18.54,PF,0.0,0.0,few clouds,2020-02-09 21:06:51
34,Tabory,58.52,64.55,-2.99,92,0,8.43,RU,0.0,0.0,clear sky,2020-02-09 21:06:51
35,Punta Arenas,-53.15,-70.92,64.4,59,75,10.29,CL,0.0,0.0,broken clouds,2020-02-09 21:03:59
36,Meulaboh,4.14,96.13,81.73,75,99,8.72,ID,3.69,0.0,moderate rain,2020-02-09 21:06:51
37,Kodiak,57.79,-152.41,33.8,69,1,4.7,US,0.0,0.0,clear sky,2020-02-09 21:06:51
38,Kahului,20.89,-156.47,75.2,60,20,3.36,US,0.0,0.0,few clouds,2020-02-09 21:04:48
39,Fortuna,40.6,-124.16,59.0,57,1,10.29,US,0.0,0.0,clear sky,2020-02-09 21:02:40
40,Yar-Sale,66.83,70.83,-8.34,95,20,8.43,RU,0.0,0.0,few clouds,2020-02-09 21:06:52
41,Pathein,16.78,94.73,75.99,64,0,10.92,MM,0.0,0.0,clear sky,2020-02-09 21:06:52
42,Faanui,-16.48,-151.75,82.54,81,0,20.07,PF,0.0,0.0,clear sky,2020-02-09 21:06:52
43,Barrow,71.29,-156.79,-25.6,74,90,10.29,US,0.0,0.0,overcast clouds,2020-02-09 21:06:53
44,Hermanus,-34.42,19.23,70.0,89,0,1.01,ZA,0.0,0.0,clear sky,2020-02-09 21:06:53
45,Butaritari,3.07,172.79,84.36,80,29,17.52,KI,0.13,0.0,light rain,2020-02-09 21:06:53
46,Savonlinna,61.87,28.92,35.6,93,90,18.34,FI,0.0,0.0,overcast clouds,2020-02-09 21:06:53
47,Inhambane,-23.86,35.38,82.04,84,34,12.28,MZ,0.0,0.0,scattered clouds,2020-02-09 21:06:53
48,Severo-Kurilsk,50.68,156.12,20.91,89,100,6.46,RU,0.0,0.56,light snow,2020-02-09 21:06:54
49,Mar Del Plata,-38.0,-57.56,63.0,59,75,16.11,AR,0.0,0.0,broken clouds,2020-02-09 21:06:32
50,Albany,42.6,-73.97,33.01,63,90,5.7,US,0.0,0.0,overcast clouds,2020-02-09 21:05:27
51,Iqaluit,63.75,-68.51,-23.01,67,20,4.7,CA,0.0,0.0,few clouds,2020-02-09 21:04:27
52,East London,-33.02,27.91,73.49,72,100,4.54,ZA,0.19,0.0,light rain,2020-02-09 21:06:54
53,Dingle,11.0,122.67,72.5,92,95,12.82,PH,0.56,0.0,light rain,2020-02-09 21:06:55
54,Paso De Carrasco,-34.86,-56.05,69.8,52,75,16.11,UY,0.0,0.0,broken clouds,2020-02-09 21:06:55
55,Milazzo,38.22,15.24,54.0,87,0,4.05,IT,0.0,0.0,clear sky,2020-02-09 21:06:55
56,Saskylakh,71.92,114.08,-11.22,98,95,4.41,RU,0.0,0.13,light snow,2020-02-09 21:06:55
57,Maihar,24.27,80.75,51.62,56,0,0.11,IN,0.0,0.0,clear sky,2020-02-09 21:06:56
58,Luanda,-8.84,13.23,82.4,78,20,9.17,AO,0.0,0.0,few clouds,2020-02-09 21:06:56
59,Souillac,-20.52,57.52,77.0,83,40,12.75,MU,0.0,0.0,scattered clouds,2020-02-09 21:06:56
60,Bayan,46.08,127.4,1.29,95,99,7.05,CN,0.0,0.0,overcast clouds,2020-02-09 21:06:56
61,Whitianga,-36.83,175.7,70.0,61,7,5.01,NZ,0.0,0.0,clear sky,2020-02-09 21:06:57
62,Kashin,57.36,37.61,27.01,90,97,12.75,RU,0.0,0.0,overcast clouds,2020-02-09 21:06:57
63,Bredasdorp,-34.53,20.04,69.8,77,28,2.24,ZA,0.13,0.0,light rain,2020-02-09 21:06:57
64,Zadar,44.12,15.24,45.0,93,20,5.82,HR,0.0,0.0,few clouds,2020-02-09 21:06:57
65,Paamiut,61.99,-49.67,7.84,73,72,7.14,GL,0.0,0.0,broken clouds,2020-02-09 21:06:57
66,Los Llanos De Aridane,28.66,-17.92,66.2,72,20,16.11,ES,0.0,0.0,few clouds,2020-02-09 21:06:57
67,Geraldton,-28.77,114.6,64.4,68,0,12.75,AU,0.0,0.0,clear sky,2020-02-09 21:06:58
68,Luderitz,-26.65,15.16,71.6,68,0,25.28,NA,0.0,0.0,clear sky,2020-02-09 21:06:58
69,Port Alfred,-33.59,26.89,68.0,95,92,7.52,ZA,0.19,0.0,light rain,2020-02-09 21:06:58
70,Sorland,67.67,12.69,37.98,74,100,21.72,NO,0.0,0.0,overcast clouds,2020-02-09 21:06:58
71,San Patricio,19.22,-104.7,86.0,70,5,11.41,MX,0.0,0.0,clear sky,2020-02-09 21:06:58
72,Matagami,49.75,-77.63,17.6,78,90,14.99,CA,0.0,0.0,light snow,2020-02-09 21:06:59
73,College,64.86,-147.8,25.0,85,90,1.95,US,0.0,0.0,light snow,2020-02-09 21:06:59
74,Hithadhoo,-0.6,73.08,81.91,75,99,11.36,MV,0.0,0.0,overcast clouds,2020-02-09 21:06:59
75,Avarua,-21.21,-159.78,84.2,79,100,17.13,CK,0.0,0.0,overcast clouds,2020-02-09 21:06:59
76,Dunedin,-45.87,170.5,55.76,77,50,18.28,NZ,0.0,0.0,scattered clouds,2020-02-09 21:02:35
77,Sao Felix Do Xingu,-6.64,-51.99,78.91,87,73,1.41,BR,0.19,0.0,light rain,2020-02-09 21:06:59
78,Cockburn Town,21.46,-71.14,82.4,65,40,17.22,TC,0.0,0.0,scattered clouds,2020-02-09 21:07:00
79,Cabo San Lucas,22.89,-109.91,73.99,64,90,3.36,MX,0.0,0.0,overcast clouds,2020-02-09 21:06:31
80,Sitka,57.05,-135.33,39.2,93,90,4.7,US,0.0,0.0,mist,2020-02-09 21:07:00
81,Ca Mau,9.18,105.15,74.84,75,100,8.25,VN,0.0,0.0,overcast clouds,2020-02-09 21:07:00
82,Sinnamary,5.38,-52.95,79.2,72,99,14.65,GF,0.0,0.0,overcast clouds,2020-02-09 21:07:00
83,Upernavik,72.79,-56.15,-18.65,94,14,2.57,GL,0.0,0.0,few clouds,2020-02-09 21:07:01
84,Bengkulu,-3.8,102.27,73.24,83,100,2.71,ID,0.0,0.0,overcast clouds,2020-02-09 21:07:01
85,Mundo Nuevo,18.7,-95.5,82.89,74,28,7.43,MX,0.0,0.0,scattered clouds,2020-02-09 21:07:01
86,North Bend,43.41,-124.22,48.99,75,40,8.05,US,0.0,0.0,scattered clouds,2020-02-09 21:07:01
87,Aleksandrov Gay,50.15,48.57,10.63,79,7,6.29,RU,0.0,0.0,clear sky,2020-02-09 21:07:01
88,Tuktoyaktuk,69.45,-133.04,-25.6,67,75,3.36,CA,0.0,0.0,light snow,2020-02-09 21:03:05
89,Kenai,60.55,-151.26,37.99,74,90,20.8,US,0.25,0.0,light rain,2020-02-09 21:07:02
90,Gornopravdinsk,60.05,69.9,-6.84,94,0,7.18,RU,0.0,0.0,clear sky,2020-02-09 21:07:02
91,Qaanaaq,77.48,-69.36,-8.27,60,0,3.87,GL,0.0,0.0,clear sky,2020-02-09 21:07:02
92,Goundam,16.41,-3.67,74.03,9,100,9.93,ML,0.0,0.0,overcast clouds,2020-02-09 21:07:02
93,Itacoatiara,-3.14,-58.44,78.57,92,53,3.69,BR,3.0,0.0,light rain,2020-02-09 21:07:02
94,Lagoa,39.05,-27.98,62.26,91,100,8.1,PT,0.0,0.0,overcast clouds,2020-02-09 21:07:02
95,Ilulissat,69.22,-51.1,-2.02,97,100,6.82,GL,0.0,0.19,light snow,2020-02-09 21:07:03
96,San Quintin,30.48,-115.95,57.22,70,100,7.38,MX,0.0,0.0,overcast clouds,2020-02-09 21:02:56
97,Kropotkin,45.44,40.58,20.34,67,34,5.7,RU,0.0,0.0,scattered clouds,2020-02-09 21:07:03
98,Naryan-Mar,67.67,53.09,23.38,93,100,13.31,RU,0.0,0.0,overcast clouds,2020-02-09 21:07:03
99,Tyrma,50.08,132.17,-13.49,94,58,0.74,RU,0.0,0.0,broken clouds,2020-02-09 21:07:03
100,Sharqpur,31.46,74.1,50.0,81,40,1.05,PK,0.0,0.0,smoke,2020-02-09 21:07:04
101,Sikonge,-5.63,32.77,69.8,94,20,1.99,TZ,0.0,0.0,few clouds,2020-02-09 21:07:04
102,Freeport,40.66,-73.58,48.0,49,90,15.93,US,0.25,0.0,light rain,2020-02-09 21:07:04
103,Karakol,42.49,78.39,25.81,45,97,4.63,KG,0.0,0.0,overcast clouds,2020-02-09 21:07:04
104,Bowmore,34.94,-79.3,57.0,30,1,4.7,US,0.0,0.0,clear sky,2020-02-09 21:07:05
105,Vangaindrano,-23.35,47.6,73.11,94,100,0.96,MG,0.81,0.0,light rain,2020-02-09 21:07:05
106,Murmashi,68.82,32.81,32.0,88,75,6.71,RU,0.0,0.0,broken clouds,2020-02-09 21:07:05
107,Gat,31.61,34.76,48.2,70,75,3.36,IL,0.0,0.0,broken clouds,2020-02-09 21:04:01
108,Ulladulla,-35.35,150.47,70.0,100,75,9.17,AU,0.0,0.0,broken clouds,2020-02-09 21:07:05
109,Saldanha,-33.01,17.94,66.2,77,0,18.34,ZA,0.0,0.0,clear sky,2020-02-09 21:07:06
110,Beterou,9.2,2.26,79.18,17,30,2.21,BJ,0.0,0.0,scattered clouds,2020-02-09 21:07:06
111,Nelson Bay,-32.72,152.15,70.0,100,75,1.83,AU,0.0,0.0,mist,2020-02-09 21:07:06
112,Carutapera,-1.2,-46.02,81.18,81,100,13.98,BR,0.0,0.0,overcast clouds,2020-02-09 21:07:06
113,Pyinmana,19.73,96.22,64.92,45,8,2.89,MM,0.0,0.0,clear sky,2020-02-09 21:07:06
114,Mogadishu,2.04,45.34,80.01,83,51,15.9,SO,0.0,0.0,broken clouds,2020-02-09 21:07:07
115,Xining,36.62,101.77,19.17,42,0,3.83,CN,0.0,0.0,clear sky,2020-02-09 21:07:07
