City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2019-12-30 03:24:43,-33.69,-53.46,70.39,93,51,4.74
1,Hobart,AU,2019-12-30 03:22:31,-42.88,147.33,102.2,11,33,21.92
2,Lompoc,US,2019-12-30 03:24:44,34.64,-120.46,54.0,87,40,5.82
3,Iquitos,PE,2019-12-30 03:24:44,-3.75,-73.25,77.0,94,40,4.7
4,Ushuaia,AR,2019-12-30 03:23:18,-54.81,-68.31,51.8,43,11,4.7
5,Port Alfred,ZA,2019-12-30 03:24:45,-33.59,26.89,70.0,96,10,1.99
6,Yellowknife,CA,2019-12-30 03:24:45,62.45,-114.38,-16.01,75,75,4.7
7,Georgetown,GY,2019-12-30 03:24:45,6.8,-58.16,73.4,100,100,4.7
8,Fortuna,US,2019-12-30 03:24:45,40.6,-124.16,46.99,100,90,2.37
9,Mount Gambier,AU,2019-12-30 03:20:41,-37.83,140.78,86.0,33,56,26.4
10,Cape Town,ZA,2019-12-30 03:22:25,-33.93,18.42,66.2,77,0,13.87
11,Tromso,NO,2019-12-30 03:24:46,69.65,18.96,33.8,86,90,20.8
12,Port Elizabeth,US,2019-12-30 03:24:46,39.31,-74.98,55.99,93,90,6.93
13,Hilo,US,2019-12-30 03:20:05,19.71,-155.08,80.6,54,1,6.93
14,Provideniya,RU,2019-12-30 03:24:46,64.42,-173.23,5.0,60,0,20.13
15,Kapaa,US,2019-12-30 03:24:47,22.08,-159.32,80.6,74,75,5.82
16,Severo-Yeniseyskiy,RU,2019-12-30 03:24:47,60.37,93.04,-16.73,94,0,3.89
17,Sorland,NO,2019-12-30 03:24:47,67.67,12.69,43.39,81,75,29.62
18,Rikitea,PF,2019-12-30 03:23:04,-23.12,-134.97,77.41,78,100,5.75
19,Sukumo,JP,2019-12-30 03:24:49,32.94,132.72,61.27,93,100,7.78
20,Mataura,NZ,2019-12-30 03:24:50,-46.19,168.86,59.0,79,91,20.0
21,Aswan,EG,2019-12-30 03:24:50,24.09,32.9,50.0,46,42,8.05
22,Cabo San Lucas,MX,2019-12-30 03:20:02,22.89,-109.91,64.99,76,5,10.29
23,Kodiak,US,2019-12-30 03:24:51,39.95,-94.76,30.99,80,90,18.34
24,New Norfolk,AU,2019-12-30 03:24:51,-42.78,147.06,102.2,11,28,21.92
25,Vaini,IN,2019-12-30 03:24:52,15.34,74.49,71.6,77,5,6.49
26,Bluff,AU,2019-12-30 03:24:52,-23.58,149.07,87.96,42,25,12.44
27,East London,ZA,2019-12-30 03:24:53,-33.02,27.91,69.8,88,40,8.05
28,Telimele,GN,2019-12-30 03:24:53,10.9,-13.03,67.17,27,0,3.33
29,Ca Mau,VN,2019-12-30 03:24:53,9.18,105.15,87.33,55,40,11.05
30,Rapsani,GR,2019-12-30 03:24:55,39.9,22.55,39.2,48,40,23.04
